"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
2011,0.21540667116642,0.501176297664642,0,0.501176297664642,580.997497558594,0.547754883766174,390.63,"Only C3 grass allowed","Ungrazed",6.31263017654419,"FF",42.73796,-89.75369,10,213,17.1907119750977,868.69482421875
2012,0.147000834345818,0.225703343749046,0,0.225703343749046,454.918090820312,0.484876453876495,392.65,"Only C3 grass allowed","Ungrazed",6.38523197174072,"FF",42.73796,-89.75369,10,156,20.9889049530029,641.933288574219
2013,0.189549565315247,0.359892755746841,0,0.359892755746841,506.996917724609,0.469966292381287,395.4,"Only C3 grass allowed","Ungrazed",6.41432905197144,"FF",42.73796,-89.75369,10,193,17.8796653747559,1017.13269042969
2014,0.210167318582535,0.445096045732498,0,0.445096045732498,541.344482421875,0.465577304363251,397.34,"Only C3 grass allowed","Ungrazed",6.38687181472778,"FF",42.73796,-89.75369,10,185,16.6935348510742,938.198608398438
2015,0.223150253295898,0.479267776012421,0,0.479267776012421,552.986877441406,0.505401611328125,399.65,"Only C3 grass allowed","Ungrazed",6.36889028549194,"FF",42.73796,-89.75369,10,181,17.599609375,1079.763671875
2016,0.243586093187332,0.597704887390137,0,0.597704887390137,597.391723632812,0.53813374042511,403.06,"Only C3 grass allowed","Ungrazed",6.3725528717041,"FF",42.73796,-89.75369,10,233,16.2465267181396,982.762756347656
2017,0.244187295436859,0.613169491291046,0,0.613169491291046,567.360229492188,0.55996310710907,405.22,"Only C3 grass allowed","Ungrazed",6.40377330780029,"FF",42.73796,-89.75369,10,227,15.4360380172729,1080.20056152344
2018,0.237546503543854,0.578031837940216,0,0.578031837940216,532.430969238281,0.582311570644379,407.61,"Only C3 grass allowed","Ungrazed",6.49192810058594,"FF",42.73796,-89.75369,10,196,17.3994083404541,1415.05578613281
2019,0.237157166004181,0.596582651138306,0,0.596582651138306,517.407958984375,0.583719491958618,410.07,"Only C3 grass allowed","Ungrazed",6.60116386413574,"FF",42.73796,-89.75369,10,199,16.5554428100586,1241.82824707031
2020,0.231921941041946,0.5811527967453,0,0.5811527967453,545.671264648438,0.549185752868652,412.44,"Only C3 grass allowed","Ungrazed",6.71365928649902,"FF",42.73796,-89.75369,10,199,16.4435157775879,1030.04064941406
2021,0.227504000067711,0.530349314212799,0,0.530349314212799,546.061096191406,0.462374776601791,414.71,"Only C3 grass allowed","Ungrazed",6.81231164932251,"FF",42.73796,-89.75369,10,213,17.1208572387695,663.610717773438
1961,0.353302538394928,0.504401445388794,0,0.504401445388794,565.993225097656,0.585189580917358,316.672,"Only C3 grass allowed","2-Day Rotation",2.51731085777283,"FF",42.73796,-89.75369,10,199,16.6227283477783,979.020446777344
