"","Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0"
"80",1729,0.0858307331800461,0.118174083530903,0,0.118174083530903,499.560394287109,0.504706144332886,"Spinup","Ungrazed",2.27815318107605,"FF",42.73796,-89.75369,10
"81",1730,0.0719340667128563,0.098211757838726,0,0.098211757838726,442.310180664062,0.452838152647018,"Spinup","Ungrazed",2.26569938659668,"FF",42.73796,-89.75369,10
"82",1731,0.0928367525339127,0.128634810447693,0,0.128634810447693,493.295989990234,0.528322339057922,"Spinup","Ungrazed",2.26279878616333,"FF",42.73796,-89.75369,10
"83",1732,0.0820547938346863,0.112781308591366,0,0.112781308591366,435.129547119141,0.466463446617126,"Spinup","Ungrazed",2.32565999031067,"FF",42.73796,-89.75369,10
"84",1733,0.0922802910208702,0.127669930458069,0,0.127669930458069,554.298767089844,0.477380305528641,"Spinup","Ungrazed",2.30725002288818,"FF",42.73796,-89.75369,10
"85",1734,0.0913003757596016,0.125787660479546,0,0.125787660479546,513.218627929688,0.567735910415649,"Spinup","Ungrazed",2.33093190193176,"FF",42.73796,-89.75369,10
"86",1735,0.0925114378333092,0.128685891628265,0,0.128685891628265,538.172729492188,0.606925308704376,"Spinup","Ungrazed",2.36015677452087,"FF",42.73796,-89.75369,10
"87",1736,0.0680127665400505,0.0945560857653618,0,0.0945560857653618,373.701538085938,0.438445687294006,"Spinup","Ungrazed",2.37152791023254,"FF",42.73796,-89.75369,10
"88",1737,0.0810643583536148,0.111255370080471,0,0.111255370080471,510.303924560547,0.570699453353882,"Spinup","Ungrazed",2.32888793945312,"FF",42.73796,-89.75369,10
"89",1738,0.0926065966486931,0.128257170319557,0,0.128257170319557,490.340972900391,0.627897381782532,"Spinup","Ungrazed",2.28877925872803,"FF",42.73796,-89.75369,10
